,sampling_method,fe_method,pm_algorithm,scoring_method,output
0,smote,pca,xgboost,accuracy,0.6008423239764886
1,smote,pca,xgboost,precision_weighted,0.5885508197315522
2,smote,pca,xgboost,recall_weighted,0.6008423239764886
3,smote,pca,xgboost,f1_weighted,0.5847698437741349
4,smote,lasso,xgboost,accuracy,0.6565316237162603
5,smote,lasso,xgboost,precision_weighted,0.6507658373664744
6,smote,lasso,xgboost,recall_weighted,0.6565316237162603
7,smote,lasso,xgboost,f1_weighted,0.6463724785211397
8,smote,random_forest,xgboost,accuracy,0.6195836968249208
9,smote,random_forest,xgboost,precision_weighted,0.6160329494811404
10,smote,random_forest,xgboost,recall_weighted,0.6195836968249208
11,smote,random_forest,xgboost,f1_weighted,0.6167402234784871
12,smote,xgboost,xgboost,accuracy,0.6151964635243263
13,smote,xgboost,xgboost,precision_weighted,0.611909985958329
14,smote,xgboost,xgboost,recall_weighted,0.6151964635243263
15,smote,xgboost,xgboost,f1_weighted,0.6128234125241505
16,smote,none,xgboost,accuracy,0.6565316237162603
17,smote,none,xgboost,precision_weighted,0.6507658373664744
18,smote,none,xgboost,recall_weighted,0.6565316237162603
19,smote,none,xgboost,f1_weighted,0.6463724785211397
20,tomek_links,pca,xgboost,accuracy,0.6868470110949468
21,tomek_links,pca,xgboost,precision_weighted,0.6046059019080398
22,tomek_links,pca,xgboost,recall_weighted,0.6868470110949468
23,tomek_links,pca,xgboost,f1_weighted,0.6126318578966959
24,tomek_links,lasso,xgboost,accuracy,0.6987083899485057
25,tomek_links,lasso,xgboost,precision_weighted,0.6419257031554306
26,tomek_links,lasso,xgboost,recall_weighted,0.6987083899485057
27,tomek_links,lasso,xgboost,f1_weighted,0.6357845453714789
28,tomek_links,random_forest,xgboost,accuracy,0.6947367788536549
29,tomek_links,random_forest,xgboost,precision_weighted,0.6328272322888931
30,tomek_links,random_forest,xgboost,recall_weighted,0.6947367788536549
31,tomek_links,random_forest,xgboost,f1_weighted,0.6300302545299203
32,tomek_links,xgboost,xgboost,accuracy,0.6972771461184328
33,tomek_links,xgboost,xgboost,precision_weighted,0.6398141785160076
34,tomek_links,xgboost,xgboost,recall_weighted,0.6972771461184328
35,tomek_links,xgboost,xgboost,f1_weighted,0.6345145876312482
36,tomek_links,none,xgboost,accuracy,0.6971339710078042
37,tomek_links,none,xgboost,precision_weighted,0.6360867555339645
38,tomek_links,none,xgboost,recall_weighted,0.6971339710078042
39,tomek_links,none,xgboost,f1_weighted,0.6336494622548511
40,smote_tomek_links,pca,xgboost,accuracy,0.6002989843888412
41,smote_tomek_links,pca,xgboost,precision_weighted,0.5867124931702932
42,smote_tomek_links,pca,xgboost,recall_weighted,0.6002989843888412
43,smote_tomek_links,pca,xgboost,f1_weighted,0.5830532852432382
44,smote_tomek_links,lasso,xgboost,accuracy,0.6582964755079319
45,smote_tomek_links,lasso,xgboost,precision_weighted,0.6519920011299174
46,smote_tomek_links,lasso,xgboost,recall_weighted,0.6582964755079319
47,smote_tomek_links,lasso,xgboost,f1_weighted,0.6474752796139722
48,smote_tomek_links,random_forest,xgboost,accuracy,0.6290575883163813
49,smote_tomek_links,random_forest,xgboost,precision_weighted,0.6243177708962004
50,smote_tomek_links,random_forest,xgboost,recall_weighted,0.6290575883163813
51,smote_tomek_links,random_forest,xgboost,f1_weighted,0.6240269402852711
52,smote_tomek_links,xgboost,xgboost,accuracy,0.6203905332041899
53,smote_tomek_links,xgboost,xgboost,precision_weighted,0.616713504250982
54,smote_tomek_links,xgboost,xgboost,recall_weighted,0.6203905332041899
55,smote_tomek_links,xgboost,xgboost,f1_weighted,0.6176807547399144
56,smote_tomek_links,none,xgboost,accuracy,0.6582964755079319
57,smote_tomek_links,none,xgboost,precision_weighted,0.6519920011299174
58,smote_tomek_links,none,xgboost,recall_weighted,0.6582964755079319
59,smote_tomek_links,none,xgboost,f1_weighted,0.6474752796139722
60,no_sampling,pca,xgboost,accuracy,0.6008668578616946
61,no_sampling,pca,xgboost,precision_weighted,0.5876448918784327
62,no_sampling,pca,xgboost,recall_weighted,0.6008668578616946
63,no_sampling,pca,xgboost,f1_weighted,0.583428832505789
64,no_sampling,lasso,xgboost,accuracy,0.6588383776433526
65,no_sampling,lasso,xgboost,precision_weighted,0.652602991626115
66,no_sampling,lasso,xgboost,recall_weighted,0.6588383776433526
67,no_sampling,lasso,xgboost,f1_weighted,0.6480055444172093
68,no_sampling,random_forest,xgboost,accuracy,0.6206688235193869
69,no_sampling,random_forest,xgboost,precision_weighted,0.6168809095890321
70,no_sampling,random_forest,xgboost,recall_weighted,0.6206688235193869
71,no_sampling,random_forest,xgboost,f1_weighted,0.6175303466161713
72,no_sampling,xgboost,xgboost,accuracy,0.6161951408987048
73,no_sampling,xgboost,xgboost,precision_weighted,0.6125392626854921
74,no_sampling,xgboost,xgboost,recall_weighted,0.6161951408987048
75,no_sampling,xgboost,xgboost,f1_weighted,0.6135158913738812
76,no_sampling,none,xgboost,accuracy,0.6588383776433526
77,no_sampling,none,xgboost,precision_weighted,0.652602991626115
78,no_sampling,none,xgboost,recall_weighted,0.6588383776433526
79,no_sampling,none,xgboost,f1_weighted,0.6480055444172093
